iter	Passed	Remaining
0	47	47320
1	48	23956
2	48	16160
3	49	12238
4	49	9886
5	50	8313
6	50	7192
7	51	6348
8	51	5693
9	52	5168
10	52	4740
11	53	4380
12	53	4085
13	54	3827
14	54	3610
15	55	3415
16	56	3244
17	56	3094
18	57	2960
19	57	2838
20	58	2726
21	59	2625
22	59	2533
23	60	2448
24	60	2371
25	61	2298
26	61	2232
27	62	2171
28	63	2115
29	63	2061
30	64	2010
31	64	1963
32	65	1919
33	66	1878
34	66	1838
35	67	1800
36	67	1766
37	68	1733
38	69	1701
39	69	1671
40	70	1642
41	70	1615
42	71	1588
43	71	1563
44	72	1540
45	73	1516
46	73	1494
47	74	1473
48	74	1453
49	75	1433
50	76	1416
51	76	1398
52	77	1380
53	77	1362
54	78	1346
55	78	1330
56	79	1314
57	80	1300
58	80	1286
59	81	1271
60	81	1258
61	82	1245
62	82	1232
63	83	1219
64	84	1210
65	84	1198
66	85	1187
67	85	1172
68	86	1161
69	86	1151
70	87	1140
71	87	1131
72	88	1121
73	88	1111
74	89	1102
75	90	1094
76	90	1085
77	91	1076
78	91	1068
79	92	1059
80	92	1051
81	93	1044
82	93	1036
83	94	1029
84	94	1019
85	95	1013
86	95	1004
87	96	997
88	96	991
89	97	985
90	98	979
91	98	972
92	99	966
93	99	960
94	100	956
95	100	950
96	101	945
97	102	939
98	102	933
99	103	928
100	103	923
101	103	915
102	104	910
103	105	905
104	105	900
105	106	894
106	106	890
107	107	885
108	107	880
109	108	876
110	108	871
111	109	866
112	109	862
113	110	858
114	110	853
115	111	848
116	111	844
117	112	840
118	112	836
119	113	832
120	114	828
121	114	825
122	114	819
123	115	815
124	115	811
125	116	808
126	117	804
127	117	799
128	118	796
129	118	793
130	119	790
131	119	786
132	120	783
133	120	780
134	121	777
135	121	774
136	122	771
137	122	767
138	123	764
139	123	761
140	124	758
141	125	755
142	125	752
143	126	749
144	126	746
145	127	743
146	127	740
147	128	737
148	128	734
149	129	731
150	129	728
151	130	725
152	130	722
153	131	719
154	131	716
155	131	713
156	132	711
157	132	708
158	133	705
159	133	702
160	134	699
161	134	696
162	135	693
163	135	690
164	135	687
165	136	684
166	136	681
167	137	678
168	137	676
169	137	673
170	138	670
171	138	667
172	139	664
173	139	662
174	139	659
175	140	657
176	140	654
177	141	651
178	141	649
179	141	646
180	142	643
181	142	640
182	142	638
183	143	635
184	143	633
185	144	630
186	144	627
187	144	625
188	145	622
189	145	620
190	145	617
191	146	615
192	146	613
193	146	610
194	147	608
195	147	605
196	148	603
197	148	601
198	148	599
199	149	596
200	149	594
201	149	592
202	150	590
203	150	588
204	151	585
205	151	583
206	151	581
207	152	579
208	152	577
209	152	575
210	153	573
211	153	571
212	154	569
213	154	567
214	154	565
215	155	563
216	155	561
217	155	559
218	156	557
219	156	555
220	156	553
221	157	551
222	157	549
223	158	547
224	158	545
225	158	544
226	159	542
227	159	540
228	159	538
229	160	536
230	160	535
231	161	533
232	161	531
233	161	529
234	162	528
235	162	526
236	163	524
237	163	523
238	163	521
239	164	519
240	164	518
241	164	516
242	165	514
243	165	513
244	166	511
245	166	510
246	166	508
247	167	507
248	167	505
249	167	503
250	168	502
251	168	500
252	169	499
253	169	497
254	169	496
255	170	494
256	170	493
257	170	491
258	171	490
259	171	488
260	172	487
261	172	485
262	172	484
263	173	482
264	173	481
265	173	480
266	174	478
267	174	477
268	175	475
269	175	474
270	175	473
271	176	471
272	176	470
273	177	469
274	177	467
275	177	466
276	178	465
277	178	463
278	178	462
279	179	461
280	179	459
281	180	458
282	180	457
283	180	456
284	181	454
285	181	453
286	182	452
287	182	450
288	182	449
289	183	448
290	183	447
291	183	446
292	184	444
293	184	443
294	185	442
295	185	441
296	185	440
297	186	438
298	186	437
299	187	436
300	187	435
301	187	434
302	188	432
303	188	431
304	188	430
305	189	429
306	189	428
307	190	426
308	190	425
309	190	424
310	191	423
311	191	422
312	191	421
313	192	420
314	192	418
315	193	417
316	193	416
317	193	415
318	194	414
319	194	413
320	194	412
321	195	410
