iter	Passed	Remaining
0	48	48763
1	49	24653
2	49	16574
3	50	12528
4	50	10103
5	51	8480
6	51	7322
7	52	6448
8	52	5772
9	52	5230
10	53	4787
11	53	4419
12	54	4107
13	54	3840
14	54	3607
15	55	3403
16	55	3224
17	56	3064
18	56	2921
19	56	2792
20	57	2689
21	58	2584
22	58	2492
23	59	2408
24	59	2328
25	60	2252
26	60	2182
27	60	2115
28	61	2054
29	61	1997
30	62	1943
31	62	1894
32	63	1847
33	63	1803
34	63	1762
35	64	1723
36	64	1685
37	65	1650
38	65	1617
39	66	1585
40	66	1555
41	66	1526
42	67	1499
43	67	1472
44	68	1446
45	68	1423
46	69	1400
47	69	1377
48	69	1356
49	70	1335
50	70	1315
51	71	1296
52	71	1278
53	71	1260
54	72	1248
55	73	1235
56	73	1219
57	74	1204
58	74	1189
59	75	1175
60	75	1161
61	75	1148
62	76	1135
63	76	1122
64	77	1110
65	77	1098
66	78	1087
67	78	1075
68	78	1064
69	79	1053
70	79	1042
71	80	1032
72	80	1022
73	80	1012
74	81	1002
75	81	993
76	82	985
77	82	976
78	82	967
79	83	958
80	83	950
81	84	942
82	84	932
83	84	925
84	85	917
85	85	910
86	86	903
87	86	896
88	86	889
89	87	884
90	88	880
91	88	873
92	88	867
93	89	861
94	89	856
95	90	851
96	90	846
97	91	840
98	91	835
99	92	829
100	92	824
101	93	818
102	93	813
103	93	808
104	94	803
105	94	798
106	95	793
107	95	788
108	95	783
109	96	779
110	96	774
111	97	770
112	97	765
113	97	761
114	98	756
115	98	752
116	99	747
117	99	743
118	99	739
119	100	735
120	100	731
121	101	727
122	101	723
123	101	720
124	102	716
125	102	713
126	103	711
127	103	708
128	104	707
129	105	704
130	105	701
131	106	697
132	106	694
133	106	691
134	107	687
135	107	684
136	108	681
137	108	678
138	109	675
139	109	672
140	109	669
141	110	665
142	110	662
143	110	659
144	111	656
145	111	652
146	112	649
147	112	647
148	112	644
149	113	641
150	113	638
151	113	635
152	114	632
153	114	629
154	114	626
155	115	624
156	115	621
157	116	618
158	116	616
159	116	613
160	117	610
161	117	607
162	117	605
163	118	603
164	118	601
165	119	599
166	119	596
167	120	594
168	120	592
169	120	590
170	121	588
171	121	585
172	122	583
173	122	581
174	122	579
175	123	576
176	123	574
177	123	572
178	124	570
179	124	568
180	125	566
181	125	564
182	125	562
183	126	560
184	126	558
185	127	555
186	127	553
187	127	552
188	128	550
189	128	548
190	129	546
191	129	544
192	129	542
193	130	540
194	130	538
195	130	536
196	131	534
197	131	532
198	131	531
199	132	529
200	132	527
201	133	526
202	133	524
203	134	523
204	134	521
205	134	520
206	135	518
207	135	516
208	136	515
209	136	513
210	136	511
211	137	510
212	137	508
213	137	506
214	138	505
215	138	503
216	139	501
217	139	500
218	139	498
219	140	497
220	140	495
221	140	493
222	141	492
223	141	490
224	142	489
225	142	487
226	142	486
227	143	484
228	143	483
229	143	481
230	144	480
231	144	478
232	145	477
233	145	476
234	145	474
235	146	473
236	146	471
237	146	470
238	147	468
239	147	467
240	148	466
241	148	465
242	149	464
243	149	463
244	150	462
245	150	461
246	150	459
247	151	458
248	151	457
249	152	456
250	152	455
251	152	454
252	153	452
253	153	451
254	154	450
255	154	449
256	154	447
257	155	446
258	155	445
259	156	444
260	156	442
261	156	441
262	157	440
263	157	439
264	157	438
265	158	436
266	158	435
267	159	434
268	159	433
269	159	432
270	160	430
271	160	429
272	160	428
273	161	427
274	161	426
275	161	424
276	162	423
277	162	423
278	163	423
279	164	423
280	165	422
281	165	421
282	165	420
283	166	419
284	166	418
285	167	417
286	167	416
287	167	415
288	168	414
289	168	413
290	169	411
291	169	410
292	169	409
293	170	408
294	170	407
295	171	406
296	171	405
297	171	404
298	172	403
299	172	402
300	172	401
301	173	400
302	173	399
303	174	398
304	174	397
305	174	396
306	175	395
307	175	394
308	175	393
309	176	392
310	176	391
311	177	390
312	177	389
313	177	388
314	178	387
315	178	386
316	179	385
317	179	385
318	180	384
319	180	383
320	180	382
321	181	381
322	181	380
323	182	379
324	182	379
325	182	378
326	183	377
327	183	376
328	184	375
329	184	374
330	184	373
331	185	372
332	185	371
333	186	371
334	186	370
335	186	369
336	187	368
337	187	367
338	188	366
339	188	365
340	188	365
341	189	364
342	189	363
343	190	362
344	190	361
345	190	360
346	191	360
347	191	359
348	192	358
349	192	357
350	192	356
351	193	355
352	194	355
353	195	355
354	195	355
355	196	354
356	196	353
357	196	353
358	197	352
359	197	351
360	198	350
361	198	349
362	198	348
363	199	348
364	199	347
365	200	346
366	200	345
367	200	345
368	201	344
369	201	343
370	202	342
371	202	342
372	202	341
373	203	340
374	203	339
375	204	338
376	204	338
377	204	337
378	205	336
379	205	335
380	206	334
381	206	334
382	206	333
383	207	332
384	207	331
385	208	331
386	208	330
387	209	330
388	209	329
389	210	328
390	210	328
391	211	327
392	211	326
393	211	326
394	212	325
395	212	324
396	213	323
397	213	322
398	213	322
399	214	321
400	214	320
401	214	319
402	215	318
403	215	318
404	216	317
405	216	316
406	216	315
407	217	315
408	217	314
409	217	313
410	218	312
411	218	312
412	219	311
413	219	310
414	219	309
415	220	309
416	220	308
417	221	307
418	221	307
419	221	306
420	222	305
421	222	304
422	222	304
423	223	303
424	223	302
425	224	302
426	224	301
427	225	300
428	225	300
429	226	299
430	226	298
431	226	298
432	227	297
433	227	296
434	227	296
435	228	295
436	228	294
437	229	293
438	229	293
439	230	292
440	230	292
441	230	291
442	231	290
443	231	290
444	232	289
445	232	288
446	232	288
447	233	287
448	233	286
449	234	286
450	234	285
451	234	284
452	235	284
453	235	283
454	236	282
455	236	281
456	236	281
457	237	280
458	237	280
459	238	279
460	238	278
461	238	278
462	239	277
463	239	276
464	240	276
465	240	275
466	241	275
467	241	274
468	242	274
469	242	273
470	242	272
471	243	272
472	243	271
473	243	270
474	244	270
475	244	269
476	245	268
477	245	268
478	245	267
479	246	266
480	246	266
481	247	265
482	247	264
483	247	264
484	248	263
485	248	262
486	248	262
487	249	261
488	249	260
489	250	260
490	250	259
491	250	259
492	251	258
493	251	257
494	252	257
495	252	256
496	252	255
497	253	255
498	254	255
499	254	254
500	255	254
501	255	253
502	256	253
503	256	252
504	257	252
505	257	251
506	257	250
507	258	250
508	258	249
509	258	248
510	259	248
511	259	247
512	260	246
513	260	246
514	260	245
515	261	245
516	261	244
517	261	243
518	262	243
519	262	242
520	263	241
521	263	241
522	263	240
523	264	239
524	264	239
525	264	238
526	265	238
527	265	237
528	266	236
529	266	236
530	266	235
531	267	235
532	267	234
533	267	233
534	268	233
535	268	232
536	269	232
537	270	231
538	270	231
539	270	230
540	271	230
541	271	229
542	272	228
543	272	228
544	272	227
545	273	227
546	273	226
547	273	225
548	274	225
549	274	224
550	275	224
551	275	223
552	275	223
553	276	222
554	276	221
555	277	221
556	277	220
557	277	220
558	278	219
559	278	218
560	279	218
561	279	217
562	279	217
563	280	216
564	280	216
565	281	215
566	281	214
567	281	214
568	282	213
569	282	213
570	283	212
571	283	212
572	283	211
573	284	211
574	285	210
575	285	210
576	286	210
577	287	209
578	287	209
579	288	209
580	289	208
581	290	208
582	290	208
583	291	207
584	291	206
585	292	206
586	292	205
587	292	205
588	293	204
589	293	204
590	294	203
591	294	202
592	295	202
593	296	202
594	296	201
595	296	201
596	297	200
597	297	200
598	298	199
599	298	199
600	298	198
601	299	197
602	299	197
603	300	196
604	300	196
605	301	195
606	301	195
607	301	194
608	302	194
609	302	193
610	303	193
611	303	192
612	304	192
613	304	191
614	304	190
615	305	190
616	305	189
617	306	189
618	306	188
619	306	188
620	307	187
621	307	186
622	308	186
623	308	185
624	308	185
625	309	184
626	309	184
627	310	183
628	310	183
629	310	182
630	311	181
631	311	181
632	311	180
633	312	180
634	312	179
635	313	179
636	313	178
637	313	178
638	314	177
639	314	177
640	315	176
641	315	175
642	316	175
643	316	174
644	316	174
645	317	173
646	317	173
647	318	172
648	318	172
649	319	171
650	319	171
651	319	170
652	320	170
653	320	169
654	320	169
655	321	168
656	321	167
657	322	167
658	322	166
659	322	166
660	323	165
661	323	165
662	323	164
663	324	164
664	324	163
665	324	162
666	325	162
667	325	161
668	326	161
669	326	160
670	326	160
671	327	159
672	327	159
673	328	158
674	328	158
675	328	157
676	329	157
677	329	156
678	330	156
679	330	155
680	331	155
681	331	154
682	331	154
683	332	153
684	332	153
685	333	152
686	333	152
687	334	151
688	334	151
689	334	150
690	335	149
691	335	149
692	336	148
693	336	148
694	336	147
695	337	147
696	337	146
697	338	146
698	338	145
699	338	145
700	339	144
701	339	144
702	340	143
703	340	143
704	340	142
705	341	142
706	341	141
707	342	141
708	342	140
709	342	140
710	343	139
711	343	138
712	343	138
713	344	137
714	344	137
715	345	136
716	345	136
717	346	135
718	346	135
719	347	134
720	347	134
721	347	133
722	348	133
723	348	132
724	349	132
725	349	131
726	349	131
727	350	130
728	350	130
729	350	129
730	351	129
731	351	128
732	352	128
733	352	127
734	352	127
735	353	126
736	353	126
737	354	125
738	354	125
739	354	124
740	355	124
741	355	123
742	355	123
743	356	122
744	356	122
745	357	121
746	358	121
747	358	120
748	358	120
749	359	119
750	359	119
751	360	118
752	361	118
753	361	117
754	362	117
755	362	116
756	362	116
757	363	116
758	363	115
759	364	115
760	364	114
761	365	114
762	365	113
763	365	113
764	366	112
765	366	112
766	367	111
767	367	111
768	368	110
769	368	110
770	369	109
771	369	109
772	370	108
773	370	108
774	371	107
775	371	107
776	372	106
777	372	106
778	372	105
779	373	105
780	373	104
781	373	104
782	374	103
783	374	103
784	375	102
785	376	102
786	376	101
787	376	101
788	377	100
789	377	100
790	378	99
791	378	99
792	378	98
793	379	98
794	379	97
795	380	97
796	381	97
797	381	96
798	382	96
799	382	95
800	382	95
801	383	94
802	383	94
803	384	93
804	384	93
805	384	92
806	385	92
807	385	91
808	386	91
809	386	90
810	386	90
811	387	89
812	387	89
813	387	88
814	388	88
815	388	87
816	389	87
817	389	86
818	389	86
819	390	85
820	390	85
821	391	84
822	391	84
823	392	83
824	392	83
825	392	82
826	393	82
827	393	81
828	394	81
829	394	80
830	395	80
831	395	79
832	396	79
833	397	79
834	397	78
835	398	78
836	398	77
837	398	77
838	399	76
839	399	76
840	400	75
841	400	75
842	400	74
843	401	74
844	401	73
845	402	73
846	402	72
847	402	72
848	403	71
849	403	71
850	404	70
851	404	70
852	404	69
853	405	69
854	405	68
855	406	68
856	406	67
857	406	67
858	407	66
859	408	66
860	408	66
861	409	65
862	409	65
863	410	64
864	410	64
865	411	63
866	411	63
867	411	62
868	412	62
869	412	61
870	413	61
871	413	60
872	414	60
873	414	59
874	415	59
875	416	58
876	416	58
877	417	58
878	418	57
879	419	57
880	420	56
881	421	56
882	421	55
883	422	55
884	423	55
885	423	54
886	424	54
887	424	53
888	424	53
889	425	52
890	425	52
891	426	51
892	426	51
893	427	50
894	427	50
895	428	49
896	428	49
897	429	48
898	429	48
899	430	47
900	430	47
901	430	46
902	431	46
903	431	45
904	432	45
905	432	44
906	432	44
907	433	43
908	433	43
909	434	42
910	434	42
911	435	41
912	435	41
913	435	41
914	436	40
915	436	40
916	437	39
917	437	39
918	438	38
919	438	38
920	439	37
921	439	37
922	440	36
923	440	36
924	441	35
925	441	35
926	441	34
927	442	34
928	442	33
929	443	33
930	444	32
931	444	32
932	444	31
933	445	31
934	445	30
935	446	30
936	446	30
937	446	29
938	447	29
939	447	28
940	448	28
941	448	27
942	449	27
943	449	26
944	449	26
945	450	25
946	450	25
947	451	24
948	451	24
